CASRN	Name	Formula	Lifetime, years	Radiative efficienty, W/m^2/ppb	SAR 100yr	20yr GWP	100yr GWP	500yr GWP
124-38-9	Carbon dioxide 	CO2 		0.000014	1	1	1	1
74-82-8	Methanec 	CH4 	12	0.00037	21	72	25	7.6
10024-97-2	Nitrous oxide 	N2O 	114	0.00303	310	289	298	153
75-69-4	CFC-11 	CCl3F 	45	0.25	3800	6730	4750	1620
75-71-8	CFC-12 	CCl2F2 	100	0.32	8100	11000	10900	5200
75-72-9	CFC-13 	CClF3 	640	0.25		10800	14400	16400
76-13-1	CFC-113 	CCl2FCClF2 	85	0.3	4800	6540	6130	2700
76-14-2	CFC-114 	CClF2CClF2 	300	0.31		8040	10000	8730
76-15-3	CFC-115 	CClF2CF3 	1700	0.18		5310	7370	9990
75-63-8	Halon-1301 	CBrF3 	65	0.32	5400	8480	7140	2760
353-59-3	Halon-1211 	CBrClF2 	16	0.3		4750	1890	575
124-73-2	Halon-2402 	CBrF2CBrF2 	20	0.33		3680	1640	503
56-23-5	Carbon tetrachloride 	CCl4 	26	0.13	1400	2700	1400	435
74-83-9	Methyl bromide 	CH3Br 	0.7	0.01		17	5	1
71-55-6	Methyl chloroform 	CH3CCl3 	5	0.06		506	146	45
75-45-6	HCFC-22 	CHClF2 	12	0.2	1500	5160	1810	549
306-83-2	HCFC-123 	CHCl2CF3 	1.3	0.14	90	273	77	24
2837-89-0	HCFC-124 	CHClFCF3 	5.8	0.22	470	2070	609	185
1717-00-6	HCFC-141b 	CH3CCl2F 	9.3	0.14		2250	725	220
75-68-3	HCFC-142b 	CH3CClF2 	17.9	0.2	1800	5490	2310	705
422-56-0	HCFC-225ca 	CHCl2CF2CF3 	1.9	0.2		429	122	37
507-55-1	HCFC-225cb 	CHClFCF2CClF2 	5.8	0.32		2030	595	181
75-46-7	HFC-23 	CHF3 	270	0.19	11700	12000	14800	12200
75-10-5	HFC-32 	CH2F2 	4.9	0.11	650	2330	675	205
354-33-6	HFC-125 	CHF2CF3 	29	0.23	2800	6350	3500	1100
811-97-2	HFC-134a 	CH2FCF3 	14	0.16	1300	3830	1430	435
420-46-2	HFC-143a 	CH3CF3 	52	0.13	3800	5890	4470	1590
75-37-6	HFC-152a 	CH3CHF2 	1.4	0.09	140	437	124	38
431-89-0	HFC-227ea 	CF3CHFCF3 	34.2	0.26	2900	5310	3220	1040
690-39-1	HFC-236fa 	CF3CH2CF3 	240	0.28	6300	8100	9810	7660
460-73-1	HFC-245fa 	CHF2CH2CF3 	7.6	0.28		3380	1030	314
406-58-6	HFC-365mfc 	CH3CF2CH2CF3 	8.6	0.21		2520	794	241
138495-42-8	HFC-43-10mee 	CF3CHFCHFCF2CF3 	15.9	0.4	1300	4140	1640	500
2551-62-4	Sulphur hexafluoride 	SF6 	3200	0.52	23900	16300	22800	32600
7783-54-2	Nitrogen trifluoride 	NF3 	740	0.21		12300	17200	20700
75-73-0	PFC-14 	CF4 	50000	0.1	6500	5210	7390	11200
76-16-4	PFC-116 	C2F6 	10000	0.26	9200	8630	12200	18200
76-19-7	PFC-218 	C3F8 	2600	0.26	7000	6310	8830	12500
115-25-3	PFC-318 	c-C4F8 	3200	0.32	8700	7310	10300	14700
355-25-9	PFC-3-1-10 	C4F10 	2600	0.33	7000	6330	8860	12500
678-26-2	PFC-4-1-12 	C5F12 	4100	0.41		6510	9160	13300
355-42-0	PFC-5-1-14 	C6F14 	3200	0.49	7400	6600	9300	13300
306-94-5	PFC-9-1-18 	C10F18 	1000	0.56		5500	7500	9500
373-80-8	trifluoromethyl sulphur pentafluoride 	SF5CF3 	800	0.57		13200	17700	21200
3822-68-2	HFE-125 	CHF2OCF3 	136	0.44		13800	14900	8490
1691-17-4	HFE-134 	CHF2OCHF2 	26	0.45		12200	6320	1960
26675-46-7	HCFE-235da2 	CHF2OCHClCF3 	2.6	0.38		1230	350	106
22410-44-2	HFE-245cb2 	CH3OCF2CHF2 	5.1	0.32		2440	708	215
1885-48-9	HFE-245fa2 	CHF2OCH2CF3 	4.9	0.31		2280	659	200
425-88-7	HFE-254cb2 	CH3OCF2CHF2 	2.6	0.28		1260	359	109
28523-86-6	HFE-347mcc3 	CH3OCF2CF2CF3 	5.2	0.34		1980	575	175
406-78-0	HFE-347pcf2 	CHF2CF2OCH2CF3 	7.1	0.25		1900	580	175
160620-20-2	HFE-356pcc3 	CH3OCF2CF2CHF2 	0.33	0.93		386	110	33
163702-08-7	HFE-449sl  (HFE-7100) 	C4F9OCH3 	3.8	0.31		1040	297	90
163702-07-6	HFE-449sl  (HFE-7100) 	C4F9OCH3 	3.8	0.31		1040	297	90
163702-05-4 	HFE-569sf2 (HFE-7200) 	C4F9OC2H5 	0.77	0.3		207	59	18
163702-06-5	HFE-569sf2 (HFE-7200) 	C4F9OC2H5 	0.77	0.3		207	59	18
78522-47-1	HFE-236ca12 (HG-10) 	CHF2OCF2OCHF2 	12.1	0.66		8000	2800	860
188690-78-0	HFE-338pcc13 (HG-01) 	CHF2OCF2CF2OCHF2 	6.2	0.87		5100	1500	460
115-10-6	Dimethylether 	CH3OCH3 	0.015	0.02		1	1	1
75-09-2	Methylene chloride 	CH2Cl2 	0.38	0.03		31	8.7	2.7
74-87-3	Methyl chloride 	CH3Cl 	1	0.01		45	13	4
